KeyParcelId,Additional Parcel Indexes,Parcel Address,,
R72 07402 0033,,110-114 Lexington Ave,,
R72 08715 0019,,21-23 Shannon St,,
R72 08603 0094,,31 Hawthorn,,
R72 16203 0026,,1616 Shaftesbury Rd,,
R72 02707 0018,,1315 Wayne Ave,,
R72 08901 0008,,1859 W Fifth St,,
R72 12407 0036,,532 Crestmore Ave,,
R72 11801 0013,,1901 Salem Ave,,
R72 215417 0001,,1962 Radio Rd,,
R72 04405 0058,,122 Martz Ave,,
R72 12910 0034,,4419 Edison St,,
R72 15501 0108,,421 Mia Ave,,
R72 08804 0066,,1619 Howell Ave,,
R72 04501 0074,,York Ave,,
R72 11009 0014,,69 Ashwood Ave,,
R72 11105 0012,,29 Forest Glenn Ave,,
R72 01310 0014,,154 Drummer Ave,,
R72 07011 0047,48,518 Delaware Ave,,
R72 12708 0029,,224 Westwood Ave,,
R72 11709 0005,,402 Norman Ave,,
R72 11707 0030,,1952 Rugby Rd,,
R72 08603 0105,"104, 103",1004 & 1008 Mike Sells Way,,
R72 11502 0035,,2138-2140 Elsmere Ave,,
R72 13003 0014,,359 Geneva Rd,,
R72 11604 0011,,1914 Benson Dr,,
R72 16308 0012,,3495 W Siebenthaler Ave,,
R72 06706 0008,,743 N Belmonte Pk,,
R72 11701 0038,39,321 Norman Ave,,
R72 11913 0105,,1525 Tennyson Ave,,
R72 16013 0007,,2553 Carnegie St,,
R72 06306 0013,,204 Fernwood Ave,,
R72 04411 0024,,141 Pleasant Ave,,
R72 12113 0122,,1335 Kingsley Ave,,
R72 06108 0022,,105 E Elmwood Ave,,
R72 10602 0072,120,566 Harriet St,,
R72 04810 0029,,421 N Wright Ave,,
R72 12410 0119,,Geneva Rd,,
R72 06809 0044,,924-926 Grafton Ave,,
R72 08502 0057,,54 Horace St,,
R72 02104 0043,,129 Boltin St,,
R72 06808 0060,,621 Grafton Ave,,
R72 16206 0003,,3205 Otterbein Ave,,
R72 15209 0060,,1650 Gondert Ave,,
R72 12905 0039,,662 Mia Ave,,
R72 08603 0095,,35 Hawthorn,,
R72 08603 0102,,1012 Mike Sells Way,,
R72 07709 0034,,1517 W Riverview Ave,,
R72 06711 0026,,108 Five Oaks Ave,,
R72 12403 0053,,714 Osmond Ave,,
R72 13006 0020,,115 Elmhurst Rd,,
R72 15804 0043,,4064 Prescott Ave,,
R72 04302 0004,,1521 Darst Ave,,
R72 13313 0042,,1001 Stolz Ave,,
R72 15411 0039,,312 Dawnview Ave,,
R72 08603 0099,,W Fifth St,,
R72 12304 0009,,727 Walton Ave,,
R72 16202 0018,,1676 Shaftesbury Rd,,
R72 05708 0007,,1109 Troy St,,
R72 06102 0031,,58 E Fairview Ave,,
R72 11004 0002,,321 Redwood Ave,,
R72 14306 0016,,1029 Bellaire Ave,,
R72 08203 0031,,2210 W Second St,,
R72 07405 0073,"49,50,51,52,71,72,10,11",300 Salem Ave,,
R72 11207 0009,,183 Valleyview Dr,,
R72 11910 0061,,16-22 Roger Ct,,
R72 03306 0006,,822 Stewart St,,
R72 12914 0027,,4826 Becker Dr,,
R72 12305 0060,,736 Crestmore Ave,,
R72 09506 0072,,633 Ruth Ave,,
R72 01912 0056,,15 Bonner Street,,
R72 01808 0010,,40 Pulaski St,,
R72 07005 0008,,120 Santa Clara Ave,,
R72 12112 0181,,1521 Shelley Dr,,
R72 13211 0173,,720 Ernroe Dr,,
R72 05105 0001,,217 Brandt St,,
R72 04705 0019,,22 S Irwin St,,
R72 14804 0031,,2102 Fauver Ave,,
R72 12016 0014,,1771 Vancouver Dr,,
R72 15912 0059,,4309 Owens Dr,,
R72 14108 0028,,1148 Croyden Dr,,
R72 02711 0010,,326-328 Oak St,,
R72 05212 0015,,1927 Walters St,,
R72 05307 0045,,3 Baltimore St,,
R72 12403 0025,,710 Clarkson Ave,,
R72 10607 0058,,308 Smith St,,
R72 12401 0027,,624 Leland Ave,,
R72 12504 0046,,452 Gramont Ave,,
R72 11806 0040,,1517 Harvard Blvd,,
R72 06603 0007,,522 Grafton Ave,,
R72 05307 0028,,18 Baltimore St,,
R72 11208 0003,,131 Marson Dr,,
R72 05206 0040,,266 Alaska St,,
R72 04810 0036,,422 N Garland Ave,,
R72 05203 0017,,529 Deeds Ave,,
R72 05209 0040,,168 Grove Ave,,
R72 12704 0015,,3545  Delphos Ave,,
R72 09401 0024,,26 S Halloway St,,
R72 10906 0007,0008,3503 Riverside Dr,,
R72 11913 0060,0061,2905 Princeton Dr,,
R72 10607 0044,,340 Smith St,,
R72 10607 0002,,343 Smith St,,
R72 09304 0019,,2819 McCall St,,
R72 14801 0022,0023,2208 Brookline Ave,,
R72 01810 0043,,108 Pulaski St,,
R72 12303 0048,,915 Burleigh Ave,,
R72 12610 0006,,4126 Sylvan Dr,,
R72 08307 0069,0070,1544 W First St & 1538-1542 W First,,
R72 16213 0068,0067,1933 Litchfield Ave,,
R72 12211 0009,,734 Walton Ave,,
R72 13216 0008,,3521 Roejack Dr,,
R72 12704 0052,,332 Upland Ave,,
R72 06602 0016,,825 Salem Ave,,
R72 07704 0030,,502 Lexington Ave,,
R72 07705 0011,,1333 W Grand Ave,,
R72 06903 0077,,403 Kenwood Ave,,
R72 12411 0010,,853 Almond Ave,,
R72 13006 0002,,4416 Lee Dr,,
R72 12803 0034,,117 N Upland Ave,,
R72 12603 0017,,308 Westwood Ave,,
R72 05307 0026,,20 Baltimore St,,
R72 06910 0022,,436 Red Haw Rd,,
R72 05210 0002,,772-776 Troy St,,
R72 14603 0004,,936 Chelsea Ave,,
R72 16201 0015,,3419 Stanford Pl,,
R72 04202 0104,,206 Eugene Ave,,
R72 07104B0005,,21-23 Pinehurst Ave,,
R72 14307 0043,,721 Watervliet Ave,,
R72 12803 0037,36,129 N Upland Ave & N Upland Ave,,
R72 12803 0035,,121 N Upland Ave,,
R72 05204 0116,,1401 Lamar St,,
R72 05204 0038,,1229 Lamar St,,
R72 16201 0014,,1651 Kipling Dr,,
R72 10602 0040,,418 Smith St,,
R72 11005 0037,,125 E Siebenthaler Ave,,
R72 10212 0003,,659 Latham St,,
R72 117221 0002,,4742 Frederick Pike,,
R72 15701 0137,,3603 Dandridge Ave,,
R72 01309 0004,,58-60 Drummer Ave,,
R72 01309 0003,,62-64 Drummer Ave,,
R72 01210 0014,,137 Huffman Ave,,
R72 06807 0026,,304 Rockwood Ave,,
